epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.0892,0.8365,2.36747,1.12413,1,0.32239,0.33206,0.30832,0.8905,2.61204,0.99441,0.00034296,0.00034296,0.00034296
2,9.53815,0.71492,1.09971,0.99614,1,0.33287,0.41838,0.37873,0.72945,2.18946,0.93127,0.000686346,0.000686346,0.000686346
3,13.0007,0.71936,0.94882,0.97555,0.99002,0.32737,0.74662,0.61266,0.95132,2.08398,0.96266,0.00101558,0.00101558,0.00101558
4,16.4328,0.70295,0.86132,0.97086,0.7387,0.75988,0.95589,0.75531,0.72797,1.36178,0.92942,0.00133068,0.00133068,0.00133068
5,19.8654,0.69095,0.80709,0.97066,0.93094,0.87639,0.97975,0.74725,0.79411,0.91283,0.93667,0.00131582,0.00131582,0.00131582
6,23.268,0.65791,0.739,0.95161,0.92962,0.96255,0.98885,0.76378,0.70131,0.73718,0.92461,0.00128753,0.00128753,0.00128753
7,26.6572,0.64492,0.70585,0.94506,0.8895,0.9798,0.98112,0.77859,0.66701,0.69275,0.90426,0.00125923,0.00125923,0.00125923
8,30.0566,0.6493,0.65816,0.95242,0.97638,0.98027,0.99441,0.79165,0.64245,0.55487,0.89745,0.00123094,0.00123094,0.00123094
9,33.4512,0.6346,0.63246,0.9449,0.94267,0.97667,0.98327,0.79622,0.68712,0.53048,0.90502,0.00120265,0.00120265,0.00120265
10,36.8472,0.60165,0.57783,0.91705,0.98178,0.97135,0.98328,0.80564,0.62855,0.41187,0.89645,0.00117435,0.00117435,0.00117435
11,40.2432,0.59148,0.55712,0.91868,0.99108,0.9798,0.98328,0.81519,0.61246,0.40661,0.90844,0.00114606,0.00114606,0.00114606
12,43.6471,0.56484,0.53891,0.91803,0.98951,0.96606,0.97513,0.82029,0.57507,0.46266,0.89276,0.00111776,0.00111776,0.00111776
13,47.0558,0.56737,0.52908,0.91532,0.98256,0.98585,0.99368,0.81407,0.63824,0.45925,0.90349,0.00108947,0.00108947,0.00108947
14,50.4299,0.54665,0.50202,0.90721,0.99382,0.9899,0.98515,0.82196,0.67103,0.37405,0.89542,0.00106118,0.00106118,0.00106118
15,53.9183,0.53156,0.4742,0.91004,0.99299,0.9798,0.99441,0.83662,0.53553,0.42793,0.88406,0.00103288,0.00103288,0.00103288
16,57.3148,0.53831,0.47241,0.90643,0.99057,0.99867,0.995,0.82598,0.55964,0.35261,0.88174,0.00100459,0.00100459,0.00100459
17,60.6293,0.50724,0.44032,0.88983,0.99148,1,0.995,0.84283,0.56182,0.3656,0.89812,0.000976293,0.000976293,0.000976293
18,64.0082,0.52759,0.45465,0.90728,0.9807,1,0.99471,0.85506,0.59757,0.37407,0.89177,0.000947999,0.000947999,0.000947999
19,67.3847,0.51506,0.44405,0.90216,0.99053,0.99689,0.995,0.85034,0.62478,0.34021,0.88707,0.000919704,0.000919704,0.000919704
20,70.7329,0.51069,0.43305,0.89694,0.98414,1,0.995,0.8484,0.60426,0.35283,0.87892,0.00089141,0.00089141,0.00089141
21,74.1384,0.49436,0.41773,0.88716,0.99172,0.99076,0.995,0.84273,0.54859,0.34838,0.87625,0.000863116,0.000863116,0.000863116
22,77.4448,0.50165,0.41945,0.89036,0.97617,0.99108,0.99324,0.83961,0.56807,0.37759,0.86687,0.000834822,0.000834822,0.000834822
23,80.7635,0.49895,0.4057,0.89419,0.99571,1,0.995,0.84239,0.56765,0.371,0.86783,0.000806528,0.000806528,0.000806528
24,84.0889,0.47697,0.3946,0.88078,0.99649,0.99725,0.995,0.85267,0.52285,0.34894,0.86558,0.000778233,0.000778233,0.000778233
25,87.4127,0.47477,0.38609,0.89426,0.99553,0.99995,0.995,0.86205,0.58259,0.35196,0.87478,0.000749939,0.000749939,0.000749939
26,90.7986,0.4676,0.38604,0.88817,0.9875,1,0.995,0.87164,0.63051,0.33399,0.89106,0.000721645,0.000721645,0.000721645
27,94.187,0.46562,0.37455,0.88221,0.99237,0.99561,0.995,0.8696,0.57806,0.31227,0.88596,0.000693351,0.000693351,0.000693351
28,97.5342,0.45944,0.3599,0.87668,0.99298,1,0.995,0.86435,0.52694,0.29935,0.86919,0.000665057,0.000665057,0.000665057
29,100.869,0.45536,0.35894,0.87411,0.98744,1,0.995,0.86061,0.54489,0.29795,0.87364,0.000636762,0.000636762,0.000636762
30,104.2,0.45226,0.35383,0.87454,0.98713,0.99985,0.995,0.86559,0.52773,0.27935,0.87281,0.000608468,0.000608468,0.000608468
31,107.524,0.44783,0.3547,0.87254,0.99087,1,0.995,0.86687,0.49521,0.29895,0.86707,0.000580174,0.000580174,0.000580174
32,110.841,0.44073,0.34923,0.874,0.99502,0.99646,0.995,0.86061,0.48738,0.28481,0.86848,0.00055188,0.00055188,0.00055188
33,114.157,0.43388,0.34763,0.87977,0.99438,0.99719,0.995,0.8711,0.50635,0.26824,0.86614,0.000523586,0.000523586,0.000523586
34,117.504,0.42404,0.33384,0.86177,0.99223,1,0.995,0.87619,0.51594,0.30245,0.86186,0.000495291,0.000495291,0.000495291
35,120.897,0.41126,0.32599,0.86929,0.99367,1,0.995,0.87714,0.50709,0.26484,0.8681,0.000466997,0.000466997,0.000466997
36,124.321,0.42124,0.32912,0.87458,0.99632,0.99834,0.995,0.87102,0.5288,0.28767,0.87352,0.000438703,0.000438703,0.000438703
37,127.694,0.40476,0.31782,0.85878,0.99598,0.99862,0.995,0.87152,0.53534,0.27246,0.87033,0.000410409,0.000410409,0.000410409
38,131.188,0.40161,0.31634,0.86706,0.99245,0.99816,0.995,0.86825,0.55122,0.27745,0.87145,0.000382115,0.000382115,0.000382115
39,134.638,0.3991,0.31387,0.8633,0.9949,1,0.995,0.87561,0.50429,0.25406,0.86382,0.00035382,0.00035382,0.00035382
40,138.065,0.40162,0.31547,0.86657,0.995,1,0.995,0.87959,0.4812,0.27525,0.86124,0.000325526,0.000325526,0.000325526
41,142.223,0.3662,0.2898,0.81666,0.99417,0.99944,0.995,0.86758,0.48935,0.27857,0.85942,0.000297232,0.000297232,0.000297232
42,145.689,0.36246,0.2803,0.81459,0.9925,0.99876,0.995,0.8755,0.51792,0.25944,0.86037,0.000268938,0.000268938,0.000268938
43,149.084,0.36031,0.27548,0.81422,0.9944,0.99937,0.995,0.87299,0.53288,0.25466,0.86473,0.000240644,0.000240644,0.000240644
